GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.command,Remove,60,0,2,0,14,0,4,0,3,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.command,Last,50,0,4,0,14,0,5,0,3,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.command,Verbose,28,0,0,0,7,0,3,0,3,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.command,Count,29,0,0,0,6,0,3,0,3,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.command,Delete,58,0,2,0,12,0,4,0,3,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.command,SaveText,113,0,10,0,26,0,9,0,4,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.command,DeleteSelected,51,0,2,0,10,0,4,0,3,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.command,Command,69,0,8,0,16,0,10,0,6,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.command,CountSelected,37,0,0,0,6,0,3,0,3,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.command,Help,219,0,16,0,43,0,14,0,6,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.command,Generate,201,0,14,0,45,0,13,0,6,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.kolekce,KolekceException,0,3,0,0,0,2,0,1,0,1
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.kolekce,LinkSeznam,1,626,26,92,0,167,26,59,0,26
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.kolekce,SpojovySeznam,17,0,0,0,4,0,4,0,4,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.kolekce,LinkSeznam.Prvek,0,29,0,0,0,11,0,5,0,5
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.kolekce,LinkSeznam.new Iterator() {...},4,34,1,3,1,8,1,4,0,3
